track_id,artists,track_name
7MmG8p0F9N3C4AXdK6o6Eb,Calvin Harris,Outside (feat. Ellie Goulding)
3ruoIF2UnoXdzK8mR61ebq,21 Savage,Rich Nigga Shit (feat. Young Thug)
7JJmb5XwzOO8jgpou264Ml,Shawn Mendes,There's Nothing Holdin' Me Back
31AOj9sFz2gM0O3hMARRBx,R.E.M.,Losing My Religion
4a6q8CR2hzLk2plDkSxkfD,Bazzi,I.F.L.Y.
2nC3QhMI9reBIOWutbU3Tj,Ashe,Moral of the Story
3d9DChrdc6BOeFsbrZ3Is0,Red Hot Chili Peppers,Under the Bridge
2oejEp50ZzPuQTQ6v54Evp,The Chainsmokers,Call You Mine
48UPSzbZjgc449aqz8bxox,Red Hot Chili Peppers,Californication
41zXlQxzTi6cGAjpOXyLYH,Billie Eilish,idontwannabeyouanymore
5kcvBnt6DPX3AMEsCx1qDh,Jaymes Young,Happiest Year
3yOlyBJuViE2YSGn3nVE1K,Camila Cabello,My Oh My (feat. DaBaby)
1FpVJ7HpZInE2GvhVE2TwT,League of Legends,Legends Never Die
15JINEqzVMv3SvJTAXAKED,Eminem,Love The Way You Lie
7Bar1kLTmsRmH6FCKKMEyU,SZA,Hit Different
3QGsuHI8jO1Rx4JWLUh9jd,Shawn Mendes,Treat You Better
0wXuerDYiBnERgIpbb3JBR,Childish Gambino,Redbone
5fVZC9GiM4e8vu99W0Xf6J,The Fray,How to Save a Life
6mAN61JH0dzyZpWslS11jy,Rauw Alejandro,Fantasias
55Am8neGJkdj2ADaM3aw5H,James Arthur,Train Wreck
7sO5G9EABYOXQKNPNiE9NR,Offset,Ric Flair Drip (& Metro Boomin)
4vUmTMuQqjdnvlZmAH61Qk,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B)
6U0FIYXCQ3TGrk4tFpLrEA,BROCKHAMPTON,SUGAR
6Nle9hKrkL1wQpwNfEkxjh,Frank Ocean,Chanel
0tbjiOUl4k492KPdWZS9sy,Morgan Wallen,7 Summers
5hVghJ4KaYES3BFUATCYn0,"Tyler, The Creator",EARFQUAKE
44gRhRi2OhEf7moAUj6MD1,Lil Baby,The Bigger Picture
4CxFN5zON70B3VOPBYbd6P,Jeremy Zucker,you were good to me
0RLLvYBopDwooCyvnTwgYu,Lil Tjay,F.N
5Z3GHaZ6ec9bsiI5BenrbY,Khalid,Young Dumb & Broke
3dPtXHP0oXQ4HCWHsOA9js,YOASOBI,????Å?????Å????
2gTdDMpNxIRFSiu7HutMCg,Machine Gun Kelly,I Think I'm OKAY (with YUNGBLUD & Travis Barker)
64lsIF5pw0sJY0gV5kz0RN,Dayglow,Can I Call You Tonight?
3w3y8KPTfNeOKPiqUTakBh,Bruno Mars,Locked out of Heaven
2ksOAxtIxY8yElEWw8RhgK,Anuel AA,China
6ap9lSRJ0iLriGLqoJ44cq,24kGoldn,CITY OF ANGELS
1TfqLAPs4K3s2rJMoCokcS,Eurythmics,Sweet Dreams (Are Made of This) - Remastered
7lQWRAjyhTpCWFC0jmclT4,Coolio,Gangsta's Paradise
1zi7xx7UVEFkmKfv06H8x0,Drake,One Dance
1mKXFLRA179hdOWQBwUk9e,P!nk,Just Give Me a Reason (feat. Nate Ruess)
0bMbDctzMmTyK2j74j3nF3,Alan Walker,"Alone, Pt. II"
5w9c2J52mkdntKOmRLeM2m,Daddy Yankee,Con Calma
6i0V12jOa3mr6uu4WYhUBr,Twenty One Pilots,Heathens
14BH4qO7pgCmIe6mgLKOK3,BANNERS,Someone To You
1iSqfoUFnQwV0QW1EfUit8,YNW Melly,Suicidal
7fxSLnklnayJNBIKntXedZ,21 Savage,Slidin
3FU6urUVsgXa6RBuV2PdRk,Diplo,Heartless (feat. Morgan Wallen)
3jT2LKH0RSbQ8jIUNFzXm5,G Herbo,PTSD
0fCwrjKfWxF3xQhZrYUw4T,Juice WRLD,Blood On My Jeans
3WnTQDd9A3bpBfzCziElU9,Trippie Redd,Excitement
6cjSh516BbrNUs213jDAGm,benny blanco,Graduation (with Juice WRLD)
3CYH422oy1cZNoo0GTG1TK,Red Velvet,Psycho
7KbF6AdprOXEEHlsq11Z6d,Maluma,11:00 PM
2ekn2ttSfGqwhhate0LSR0,Dua Lipa,New Rules
6RRNNciQGZEXnqk8SQ9yv5,Taylor Swift,You Need To Calm Down
0tBbt8CrmxbjRP0pueQkyU,Selena Gomez,Wolves
76cy1WJvNGJTj78UqeA5zr,Dua Lipa,IDGAF
6lanRgr6wXibZr8KgzXxBl,Christina Perri,A Thousand Years
3CDVMejYHnB1SkEEx0T1N4,21 Savage,Many Men
3YRCqOhFifThpSRFJ1VWFM,Guns N' Roses,November Rain
6nek1Nin9q48AVZcWs9e9D,Coldplay,Paradise
5ls62WNKHUUrdF3r1cv83T,iann dior,emotions
6Qn5zhYkTa37e91HC1D7lb,Imagine Dragons,Whatever It Takes
